F,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Rushing.3,Scrimmage,Scrimmage.1,Scrimmage.2,Scrimmage.3
7086,3,1999,Ohio State,Big Ten,,WR,12,41,833,20.3,6,5,34,6.8,0,46,867,18.8,6
7087,4,*2000,Ohio State,Big Ten,SR,WR,12,53,794,15.0,2,6,19,3.2,0,59,813,13.8,2
7088,5,Career,Ohio State,,,,,106,1849,17.4,9,13,53,4.1,0,119,1902,16.0,9
7089,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
7090,1,1998,Idaho,Big West,,TE,11,13,157,12.1,2,,,,,13,157,12.1,2
7091,2,1999,Idaho,Big West,,TE,9,17,165,9.7,4,,,,,17,165,9.7,4
7092,3,2000,Idaho,Big West,SR,TE,11,34,400,11.8,4,,,,,34,400,11.8,4
7093,4,Career,Idaho,,,,,64,722,11.3,10,,,,,64,722,11.3,10
7094,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
7095,1,1999,North Carolina State,ACC,,WR,11,48,853,17.8,2,13,15,1.2,0,61,868,14.2,2
7096,2,2000,North Carolina State,ACC,SO,WR,11,62,1061,17.1,13,15,95,6.3,0,77,1156,15.0,13
7097,3,Career,North Carolina State,,,,,110,1914,17.4,15,28,110,3.9,0,138,2024,14.7,15
7098,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
7099,1,1997,Iowa State,Big 12,,QB,4,,,,,2,20,10.0,0,2,20,10.0,0
7100,2,1998,Iowa State,Big 12,,QB,4,,,,,4,34,8.5,0,4,34,8.5,0
7101,3,1999,Iowa State,Big 12,,QB,11,,,,,80,225,2.8,4,80,225,2.8,4
7102,4,2000,Iowa State,Big 12,SR,QB,11,,,,,78,381,4.9,10,78,381,4.9,10
7103,5,Career,Iowa State,,,,,,,,,164,660,4.0,14,164,660,4.0,14
7104,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
7105,1,1999,Utah,MWC,,WR,11,43,860,20.0,8,3,21,7.0,0,46,881,19.2,8
7106,2,2000,Utah,MWC,SR,WR,10,35,743,21.2,4,5,31,6.2,0,40,774,19.4,4
7107,3,Career,Utah,,,,,78,1603,20.6,12,8,52,6.5,0,86,1655,19.2,12
7108,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
7109,1,1997,Penn State,Big Ten,,TE,12,,,,,,,,,0,0,,0
7110,2,1998,Penn State,Big Ten,,TE,10,7,144,20.6,0,,,,,7,144,20.6,0
7111,3,1999,Penn State,Big Ten,,TE,12,14,266,19.0,1,,,,,14,266,19.0,1
7112,4,2000,Penn State,Big Ten,SR,TE,12,38,451,11.9,2,,,,,38,451,11.9,2
7113,5,Career,Penn State,,,,,59,861,14.6,3,,,,,59,861,14.6,3
7114,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
7115,1,*1997,Purdue,Big Ten,,WR,12,34,357,10.5,2,13,111,8.5,2,47,468,10.0,4
7116,2,*1998,Purdue,Big Ten,,WR,13,31,301,9.7,3,9,58,6.4,0,40,359,9.0,3
7117,3,*1999,Purdue,Big Ten,,WR,12,39,698,17.9,7,18,163,9.1,0,57,861,15.1,7
7118,4,*2000,Purdue,Big Ten,SR,WR,12,72,1014,14.1,13,10,52,5.2,1,82,1066,13.0,14
7119,5,Career,Purdue,,,,,176,2370,13.5,25,50,384,7.7,3,226,2754,12.2,28
7120,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
7121,1,1998,Michigan,Big Ten,,WR,12,13,123,9.5,2,1,7,7.0,0,14,130,9.3,2
7122,2,1999,Michigan,Big Ten,,WR,11,61,888,14.6,4,5,89,17.8,1,66,977,14.8,5
7123,3,2000,Michigan,Big Ten,JR,WR,11,63,994,15.8,13,2,12,6.0,0,65,1006,15.5,13
7124,4,Career,Michigan,,,,,137,2005,14.6,19,8,108,13.5,1,145,2113,14.6,20
7125,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
