F,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Rushing.3,Scrimmage,Scrimmage.1,Scrimmage.2,Scrimmage.3
361,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
362,1,2016,Virginia,ACC,FR,WR,9,4,77,19.3,0,2,3,1.5,0,6,80,13.3,0
363,2,*2017,Virginia,ACC,SO,WR,12,23,244,10.6,2,21,112,5.3,1,44,356,8.1,3
364,3,*2018,Virginia,ACC,JR,WR,13,25,465,18.6,7,3,15,5.0,0,28,480,17.1,7
365,4,*2019,Virginia,ACC,SR,WR,13,77,679,8.8,7,8,42,5.3,0,85,721,8.5,7
366,5,Career,Virginia,,,,,129,1465,11.4,16,34,172,5.1,1,163,1637,10.0,17
367,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
368,1,*2016,Iowa,Big Ten,FR,QB,5,0,0,,0,0,0,,0,0,0,,0
369,2,*2017,Iowa,Big Ten,SO,QB,13,0,0,,0,49,-115,-2.3,0,49,-115,-2.3,0
370,3,*2018,Iowa,Big Ten,JR,QB,13,0,-13,,0,36,4,0.1,1,36,-9,-0.3,1
371,4,*2019,Iowa,Big Ten,SR,QB,13,0,0,,0,76,7,0.1,1,76,7,0.1,1
372,5,Career,Iowa,,,,,0,-13,,0,161,-104,-0.6,2,161,-117,-0.7,2
373,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
374,1,*2017,LSU,SEC,SO,WR,8,11,219,19.9,1,2,5,2.5,1,13,224,17.2,2
375,2,*2018,LSU,SEC,JR,WR,10,23,363,15.8,2,2,20,10.0,0,25,383,15.3,2
376,3,*2019,LSU,SEC,SR,TE,6,12,130,10.8,0,0,0,,0,12,130,10.8,0
377,4,Career,LSU,,,,,46,712,15.5,3,4,25,6.3,1,50,737,14.7,4
378,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
379,1,*2016,Florida,SEC,FR,WR,6,8,118,14.8,2,0,0,,0,8,118,14.8,2
380,2,2017,Florida,SEC,SO,WR,8,8,96,12.0,1,0,0,,0,8,96,12.0,1
381,3,*2018,Florida,SEC,JR,WR,11,14,265,18.9,5,0,0,,0,14,265,18.9,5
382,4,*2019,Florida,SEC,SR,WR,12,38,517,13.6,7,4,27,6.8,0,42,544,13.0,7
383,5,Career,Florida,,,,,68,996,14.6,15,4,27,6.8,0,72,1023,14.2,15
384,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
385,1,*2017,Georgia,SEC,FR,RB,15,17,153,9.0,1,81,618,7.6,3,98,771,7.9,4
386,2,*2018,Georgia,SEC,SO,RB,14,32,297,9.3,3,163,1049,6.4,10,195,1346,6.9,13
387,3,*2019,Georgia,SEC,JR,RB,14,24,216,9.0,1,196,1218,6.2,7,220,1434,6.5,8
388,4,Career,Georgia,,,,,73,666,9.1,5,440,2885,6.6,20,513,3551,6.9,25
389,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
390,1,*2017,Alabama,SEC,FR,QB,8,0,0,,0,27,133,4.9,2,27,133,4.9,2
391,2,*2018,Alabama,SEC,SO,QB,15,0,0,,0,57,190,3.3,5,57,190,3.3,5
392,3,*2019,Alabama,SEC,JR,QB,9,0,0,,0,23,17,0.7,2,23,17,0.7,2
393,4,Career,Alabama,,,,,0,0,,0,107,340,3.2,9,107,340,3.2,9
394,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
395,1,*2017,Wisconsin,Big Ten,FR,RB,14,8,95,11.9,0,299,1977,6.6,13,307,2072,6.7,13
396,2,*2018,Wisconsin,Big Ten,SO,RB,13,8,60,7.5,0,307,2194,7.1,16,315,2254,7.2,16
397,3,*2019,Wisconsin,Big Ten,JR,RB,14,26,252,9.7,5,320,2003,6.3,21,346,2255,6.5,26
398,4,Career,Wisconsin,,,,,42,407,9.7,5,926,6174,6.7,50,968,6581,6.8,55
399,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
400,1,2015,Illinois,Big Ten,FR,RB,11,16,119,7.4,0,157,723,4.6,6,173,842,4.9,6
401,2,2016,Illinois,Big Ten,SO,RB,11,9,89,9.9,0,60,301,5.0,3,69,390,5.7,3
402,3,*2018,Vanderbilt,SEC,JR,RB,12,13,170,13.1,2,157,1244,7.9,12,170,1414,8.3,14
403,4,2019,Vanderbilt,SEC,SR,RB,12,28,270,9.6,1,198,1028,5.2,9,226,1298,5.7,10
404,5,Career,Overall,,,,,66,648,9.8,3,572,3296,5.8,30,638,3944,6.2,33
405,6,,Illinois,,,,,25,208,8.3,0,217,1024,4.7,9,242,1232,5.1,9
406,7,,Vanderbilt,,,,,41,440,10.7,3,355,2272,6.4,21,396,2712,6.8,24
407,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
408,1,*2017,Southern Mississippi,CUSA,FR,WR,11,23,337,14.7,2,0,0,,0,23,337,14.7,2
409,2,2018,Southern Mississippi,CUSA,SO,WR,11,72,889,12.3,9,4,11,2.8,0,76,900,11.8,9
410,3,*2019,Southern Mississippi,CUSA,JR,WR,12,64,1178,18.4,6,1,1,1.0,0,65,1179,18.1,6
411,4,Career,Southern Mississippi,,,,,159,2404,15.1,17,5,12,2.4,0,164,2416,14.7,17
412,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
413,1,*2016,Georgia,SEC,FR,TE,5,5,50,10.0,0,0,0,,0,5,50,10.0,0
414,2,*2017,Georgia,SEC,SO,TE,6,9,100,11.1,0,0,0,,0,9,100,11.1,0
415,3,*2018,Georgia,SEC,JR,TE,9,11,148,13.5,0,0,0,,0,11,148,13.5,0
416,4,*2019,Georgia,SEC,SR,TE,7,9,78,8.7,1,0,0,,0,9,78,8.7,1
417,5,Career,Georgia,,,,,34,376,11.1,1,0,0,,0,34,376,11.1,1
418,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
419,1,*2015,Oklahoma,Big 12,FR,RB,2,0,0,,0,1,5,5.0,0,1,5,5.0,0
420,2,*2017,Oklahoma,Big 12,SO,RB,13,17,281,16.5,5,188,1161,6.2,13,205,1442,7.0,18
421,3,*2018,Oklahoma,Big 12,JR,RB,2,0,0,,0,11,119,10.8,3,11,119,10.8,3
422,4,Career,Oklahoma,,,,,17,281,16.5,5,200,1285,6.4,16,217,1566,7.2,21
423,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
424,1,*2015,Stanford,Pac-12,FR,WR,,,,,,,,,,0,0,,0
425,2,*2016,Stanford,Pac-12,SO,WR,10,24,379,15.8,5,0,0,,0,24,379,15.8,5
426,3,*2017,Stanford,Pac-12,JR,WR,11,48,781,16.3,9,0,0,,0,48,781,16.3,9
427,4,*2018,Stanford,Pac-12,SR,WR,12,63,1059,16.8,14,0,0,,0,63,1059,16.8,14
428,5,Career,Stanford,,,,,135,2219,16.4,28,0,0,,0,135,2219,16.4,28
429,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
430,1,*2015,Temple,American,FR,RB,10,2,7,3.5,0,51,191,3.7,2,53,198,3.7,2
431,2,*2016,Temple,American,SO,RB,13,5,41,8.2,0,156,919,5.9,14,161,960,6.0,14
432,3,*2017,Temple,American,JR,RB,13,14,75,5.4,0,156,604,3.9,5,170,679,4.0,5
433,4,*2018,Temple,American,SR,RB,10,8,52,6.5,0,210,1098,5.2,13,218,1150,5.3,13
434,5,Career,Temple,,,,,29,175,6.0,0,573,2812,4.9,34,602,2987,5.0,34
435,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
436,1,*2015,Notre Dame,Ind,FR,WR,,,,,,,,,,0,0,,0
437,2,2016,Notre Dame,Ind,SO,WR,6,6,81,13.5,1,0,0,,0,6,81,13.5,1
438,3,*2017,Notre Dame,Ind,JR,WR,7,12,253,21.1,2,0,0,,0,12,253,21.1,2
439,4,*2018,Notre Dame,Ind,SR,WR,13,59,872,14.8,8,0,0,,0,59,872,14.8,8
440,5,Career,Notre Dame,,,,,77,1206,15.7,11,0,0,,0,77,1206,15.7,11
441,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
442,1,2016,Ole Miss,SEC,FR,WR,11,29,412,14.2,2,0,0,,0,29,412,14.2,2
443,2,2017,Ole Miss,SEC,SO,WR,11,75,1252,16.7,11,0,0,,0,75,1252,16.7,11
444,3,2018,Ole Miss,SEC,JR,WR,12,85,1320,15.5,6,0,0,,0,85,1320,15.5,6
445,4,Career,Ole Miss,,,,,189,2984,15.8,19,0,0,,0,189,2984,15.8,19
446,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
447,1,*2017,Oklahoma,Big 12,SO,WR,13,57,1095,19.2,7,1,0,0.0,0,58,1095,18.9,7
448,2,*2018,Oklahoma,Big 12,JR,WR,12,75,1318,17.6,10,2,0,0.0,0,77,1318,17.1,10
449,3,Career,Oklahoma,,,,,132,2413,18.3,17,3,0,0.0,0,135,2413,17.9,17
450,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
451,1,2015,Iowa State,Big 12,FR,WR,,,,,,,,,,0,0,,0
452,2,2016,Iowa State,Big 12,FR,WR,8,9,134,14.9,2,0,0,,0,9,134,14.9,2
453,3,*2017,Iowa State,Big 12,SO,WR,13,41,697,17.0,7,0,0,,0,41,697,17.0,7
454,4,*2018,Iowa State,Big 12,JR,WR,13,60,1318,22.0,9,0,0,,0,60,1318,22.0,9
455,5,Career,Iowa State,,,,,110,2149,19.5,18,0,0,,0,110,2149,19.5,18
456,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
457,1,*2015,Ohio State,Big Ten,FR,WR,4,0,0,,0,0,0,,0,0,0,,0
458,2,*2016,Ohio State,Big Ten,SO,WR,12,13,121,9.3,0,4,54,13.5,1,17,175,10.3,1
459,3,*2017,Ohio State,Big Ten,JR,WR,13,40,584,14.6,3,10,132,13.2,1,50,716,14.3,4
460,4,*2018,Ohio State,Big Ten,SR,WR,14,90,1063,11.8,12,9,24,2.7,0,99,1087,11.0,12
461,5,Career,Ohio State,,,,,143,1768,12.4,15,23,210,9.1,2,166,1978,11.9,17
462,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
463,1,*2016,Iowa,Big Ten,FR,TE,6,9,70,7.8,1,0,0,,0,9,70,7.8,1
464,2,*2017,Iowa,Big Ten,SO,TE,12,30,494,16.5,11,2,-1,-0.5,0,32,493,15.4,11
465,3,*2018,Iowa,Big Ten,JR,TE,12,39,519,13.3,7,2,1,0.5,0,41,520,12.7,7
466,4,Career,Iowa,,,,,78,1083,13.9,19,4,0,0.0,0,82,1083,13.2,19
467,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
468,1,*2014,Boise State,MWC,FR,QB,4,0,0,,0,7,31,4.4,0,7,31,4.4,0
469,2,*2015,Boise State,MWC,SO,QB,3,0,0,,0,22,42,1.9,0,22,42,1.9,0
470,3,*2016,North Carolina State,ACC,JR,QB,13,0,0,,0,74,94,1.3,1,74,94,1.3,1
471,4,*2017,North Carolina State,ACC,JR,QB,13,2,18,9.0,0,69,194,2.8,3,71,212,3.0,3
472,5,*2018,North Carolina State,ACC,SR,QB,13,0,0,,0,42,21,0.5,1,42,21,0.5,1
473,6,Career,Overall,,,,,2,18,9.0,0,214,382,1.8,5,216,400,1.9,5
474,7,,Boise State,,,,,0,0,,0,29,73,2.5,0,29,73,2.5,0
475,8,,North Carolina State,,,,,2,18,9.0,0,185,309,1.7,5,187,327,1.7,5
476,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
477,1,2015,Old Dominion,CUSA,SO,WR,4,6,89,14.8,0,0,0,,0,6,89,14.8,0
478,2,*2016,Old Dominion,CUSA,SO,WR,12,29,478,16.5,8,0,0,,0,29,478,16.5,8
479,3,2017,Old Dominion,CUSA,JR,WR,11,30,394,13.1,1,0,0,,0,30,394,13.1,1
480,4,2018,Old Dominion,CUSA,SR,WR,12,63,1083,17.2,9,0,0,,0,63,1083,17.2,9
481,5,Career,Old Dominion,,,,,128,2044,16.0,18,0,0,,0,128,2044,16.0,18
482,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
483,1,*2015,Washington,Pac-12,FR,RB,13,6,19,3.2,0,227,1302,5.7,14,233,1321,5.7,14
484,2,*2016,Washington,Pac-12,SO,RB,14,19,137,7.2,1,237,1373,5.8,10,256,1510,5.9,11
485,3,*2017,Washington,Pac-12,JR,RB,13,19,232,12.2,3,222,1380,6.2,21,241,1612,6.7,24
486,4,*2018,Washington,Pac-12,SR,RB,12,21,77,3.7,1,259,1268,4.9,12,280,1345,4.8,13
487,5,Career,Washington,,,,,65,465,7.2,5,945,5323,5.6,57,1010,5788,5.7,62
488,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
489,1,*2015,Michigan,Big Ten,FR,QB,,,,,,,,,,0,0,,0
490,2,*2017,Michigan,Big Ten,JR,TE,9,17,303,17.8,2,0,0,,0,17,303,17.8,2
491,3,*2018,Michigan,Big Ten,SR,TE,12,32,514,16.1,2,0,0,,0,32,514,16.1,2
492,4,Career,Michigan,,,,,49,817,16.7,4,0,0,,0,49,817,16.7,4
493,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
494,1,*2015,Georgia,SEC,FR,WR,13,35,379,10.8,2,7,37,5.3,1,42,416,9.9,3
495,2,*2016,Georgia,SEC,SO,WR,13,38,397,10.4,0,4,14,3.5,0,42,411,9.8,0
496,3,*2017,Georgia,SEC,JR,WR,13,38,639,16.8,6,0,0,,0,38,639,16.8,6
497,4,*2018,Georgia,SEC,SR,WR,12,23,385,16.7,3,0,0,,0,23,385,16.7,3
498,5,Career,Georgia,,,,,134,1800,13.4,11,11,51,4.6,1,145,1851,12.8,12
499,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
500,1,*2015,Florida,SEC,FR,QB,6,0,0,,0,36,116,3.2,2,36,116,3.2,2
501,2,*2017,West Virginia,Big 12,JR,QB,11,0,0,,0,63,122,1.9,2,63,122,1.9,2
502,3,*2018,West Virginia,Big 12,SR,QB,11,0,0,,0,48,-90,-1.9,3,48,-90,-1.9,3
503,4,Career,Overall,,,,,0,0,,0,147,148,1.0,7,147,148,1.0,7
504,5,,Florida,,,,,0,0,,0,36,116,3.2,2,36,116,3.2,2
505,6,,West Virginia,,,,,0,0,,0,111,32,0.3,5,111,32,0.3,5
506,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
507,1,*2016,Georgia,SEC,FR,FB,4,0,0,,0,0,0,,0,0,0,,0
508,2,*2017,Georgia,SEC,SO,WR,15,25,418,16.7,4,8,61,7.6,2,33,479,14.5,6
509,3,*2018,Georgia,SEC,JR,WR,14,35,543,15.5,7,5,36,7.2,0,40,579,14.5,7
510,4,Career,Georgia,,,,,60,961,16.0,11,13,97,7.5,2,73,1058,14.5,13
511,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
512,1,*2016,North Carolina State,ACC,FR,WR,10,27,462,17.1,5,0,0,,0,27,462,17.1,5
513,2,*2017,North Carolina State,ACC,SO,WR,13,69,1017,14.7,4,0,0,,0,69,1017,14.7,4
514,3,*2018,North Carolina State,ACC,JR,WR,12,81,1186,14.6,7,0,0,,0,81,1186,14.6,7
515,4,Career,North Carolina State,,,,,177,2665,15.1,16,0,0,,0,177,2665,15.1,16
516,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
517,1,*2015,Alabama,SEC,FR,RB,10,4,13,3.3,0,46,157,3.4,1,50,170,3.4,1
518,2,*2016,Alabama,SEC,SO,RB,15,14,99,7.1,2,146,1037,7.1,2,160,1136,7.1,4
519,3,*2017,Alabama,SEC,JR,RB,14,12,91,7.6,0,135,1000,7.4,11,147,1091,7.4,11
520,4,*2018,Alabama,SEC,SR,RB,15,22,204,9.3,0,150,876,5.8,9,172,1080,6.3,9
521,5,Career,Alabama,,,,,52,407,7.8,2,477,3070,6.4,23,529,3477,6.6,25
522,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
523,1,2016,Arizona State,Pac-12,FR,WR,12,58,659,11.4,5,3,69,23.0,2,61,728,11.9,7
524,2,*2017,Arizona State,Pac-12,SO,WR,13,82,1142,13.9,8,13,65,5.0,0,95,1207,12.7,8
525,3,*2018,Arizona State,Pac-12,JR,WR,12,73,1088,14.9,9,7,10,1.4,1,80,1098,13.7,10
526,4,Career,Arizona State,,,,,213,2889,13.6,22,23,144,6.3,3,236,3033,12.9,25
527,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
528,1,*2017,Ohio State,Big Ten,FR,QB,8,0,0,,0,24,86,3.6,0,24,86,3.6,0
529,2,*2018,Ohio State,Big Ten,SO,QB,14,0,0,,0,79,108,1.4,4,79,108,1.4,4
530,3,Career,Ohio State,,,,,0,0,,0,103,194,1.9,4,103,194,1.9,4
531,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
532,1,*2016,Memphis,American,FR,RB,13,20,237,11.9,3,87,482,5.5,5,107,719,6.7,8
533,2,*2017,Memphis,American,SO,RB,12,24,226,9.4,2,130,1154,8.9,9,154,1380,9.0,11
534,3,*2018,Memphis,American,JR,RB,13,19,295,15.5,3,214,1909,8.9,22,233,2204,9.5,25
535,4,Career,Memphis,,,,,63,758,12.0,8,431,3545,8.2,36,494,4303,8.7,44
536,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
537,1,*2016,Oklahoma State,Big 12,FR,RB,13,5,46,9.2,0,206,1142,5.5,6,211,1188,5.6,6
538,2,*2017,Oklahoma State,Big 12,SO,RB,13,31,190,6.1,1,268,1467,5.5,15,299,1657,5.5,16
539,3,*2018,Oklahoma State,Big 12,JR,RB,10,13,68,5.2,0,158,930,5.9,9,171,998,5.8,9
540,4,Career,Oklahoma State,,,,,49,304,6.2,1,632,3539,5.6,30,681,3843,5.6,31
541,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
542,1,*2017,Iowa,Big Ten,FR,TE,10,24,320,13.3,3,0,0,,0,24,320,13.3,3
543,2,*2018,Iowa,Big Ten,SO,TE,13,49,760,15.5,6,1,4,4.0,1,50,764,15.3,7
544,3,Career,Iowa,,,,,73,1080,14.8,9,1,4,4.0,1,74,1084,14.6,10
545,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
546,1,*2016,Miami (FL),ACC,FR,RB,7,0,0,,0,7,44,6.3,0,7,44,6.3,0
547,2,*2017,Miami (FL),ACC,SO,RB,13,18,219,12.2,1,163,966,5.9,8,181,1185,6.5,9
548,3,*2018,Miami (FL),ACC,JR,RB,13,19,186,9.8,0,164,985,6.0,4,183,1171,6.4,4
549,4,Career,Miami (FL),,,,,37,405,10.9,1,334,1995,6.0,12,371,2400,6.5,13
550,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
551,1,*2014,Tennessee,SEC,FR,RB,13,35,221,6.3,2,190,899,4.7,5,225,1120,5.0,7
552,2,*2015,Tennessee,SEC,SO,RB,13,22,190,8.6,2,277,1285,4.6,12,299,1475,4.9,14
553,3,*2016,Tennessee,SEC,JR,RB,7,10,81,8.1,2,122,451,3.7,3,132,532,4.0,5
554,4,*2018,Baylor,Big 12,SR,WR,12,69,946,13.7,4,48,209,4.4,3,117,1155,9.9,7
555,5,Career,Overall,,,,,136,1438,10.6,10,637,2844,4.5,23,773,4282,5.5,33
556,6,,Tennessee,,,,,67,492,7.3,6,589,2635,4.5,20,656,3127,4.8,26
557,7,,Baylor,,,,,69,946,13.7,4,48,209,4.4,3,117,1155,9.9,7
558,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
559,1,2015,Massachusetts,MAC,FR,RB,8,2,7,3.5,0,3,28,9.3,0,5,35,7.0,0
560,2,2016,Massachusetts,Ind,SO,WR,12,62,801,12.9,7,12,100,8.3,0,74,901,12.2,7
561,3,2017,Massachusetts,Ind,JR,WR,12,65,1020,15.7,10,14,135,9.6,1,79,1155,14.6,11
562,4,2018,Massachusetts,Ind,SR,WR,12,102,1698,16.6,13,11,79,7.2,1,113,1777,15.7,14
563,5,Career,Massachusetts,,,,,231,3526,15.3,30,40,342,8.6,2,271,3868,14.3,32
564,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
565,1,*2016,Alabama,SEC,FR,RB,14,14,156,11.1,0,85,567,6.7,4,99,723,7.3,4
566,2,*2017,Alabama,SEC,SO,RB,11,14,168,12.0,2,46,284,6.2,1,60,452,7.5,3
567,3,*2018,Alabama,SEC,JR,RB,15,20,247,12.4,3,120,640,5.3,11,140,887,6.3,14
568,4,Career,Alabama,,,,,48,571,11.9,5,251,1491,5.9,16,299,2062,6.9,21
569,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
570,1,*2015,West Virginia,Big 12,FR,WR,10,7,116,16.6,1,0,0,,0,7,116,16.6,1
571,2,*2016,West Virginia,Big 12,SO,WR,11,10,165,16.5,2,0,0,,0,10,165,16.5,2
572,3,*2017,West Virginia,Big 12,JR,WR,13,97,1096,11.3,1,0,0,,0,97,1096,11.3,1
573,4,*2018,West Virginia,Big 12,SR,WR,11,54,917,17.0,13,0,0,,0,54,917,17.0,13
574,5,Career,West Virginia,,,,,168,2294,13.7,17,0,0,,0,168,2294,13.7,17
575,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
576,1,*2015,Colorado State,MWC,FR,WR,4,2,15,7.5,1,0,0,,0,2,15,7.5,1
577,2,*2016,Colorado State,MWC,SO,WR,11,28,613,21.9,4,1,13,13.0,0,29,626,21.6,4
578,3,*2017,Colorado State,MWC,JR,WR,12,41,595,14.5,2,0,0,,0,41,595,14.5,2
579,4,2018,Colorado State,MWC,SR,WR,11,54,796,14.7,4,0,0,,0,54,796,14.7,4
580,5,Career,Colorado State,,,,,125,2019,16.2,11,1,13,13.0,0,126,2032,16.1,11
581,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
582,1,*2015,Toledo,MAC,FR,WR,11,12,196,16.3,2,0,0,,0,12,196,16.3,2
583,2,*2017,Toledo,MAC,SO,WR,14,74,1278,17.3,13,2,9,4.5,0,76,1287,16.9,13
584,3,*2018,Toledo,MAC,JR,WR,13,49,761,15.5,8,2,17,8.5,0,51,778,15.3,8
585,4,Career,Toledo,,,,,135,2235,16.6,23,4,26,6.5,0,139,2261,16.3,23
586,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
587,1,2015,Fresno State,MWC,FR,WR,11,37,337,9.1,2,0,0,,0,37,337,9.1,2
588,2,2016,Fresno State,MWC,SO,WR,12,66,773,11.7,6,3,13,4.3,0,69,786,11.4,6
589,3,*2017,Fresno State,MWC,JR,WR,14,77,1013,13.2,8,1,0,0.0,0,78,1013,13.0,8
590,4,*2018,Fresno State,MWC,SR,WR,14,95,1340,14.1,8,4,14,3.5,0,99,1354,13.7,8
591,5,Career,Fresno State,,,,,275,3463,12.6,24,8,27,3.4,0,283,3490,12.3,24
592,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
593,1,*2015,Duke,ACC,FR,QB,,,,,,,,,,0,0,,0
594,2,2016,Duke,ACC,FR,QB,12,1,0,0.0,0,141,486,3.4,7,142,486,3.4,7
595,3,*2017,Duke,ACC,SO,QB,13,0,0,,0,161,518,3.2,7,161,518,3.2,7
596,4,*2018,Duke,ACC,JR,QB,11,1,6,6.0,0,104,319,3.1,3,105,325,3.1,3
597,5,Career,Duke,,,,,2,6,3.0,0,406,1323,3.3,17,408,1329,3.3,17
598,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
599,1,*2015,Ole Miss,SEC,FR,TE,,,,,,,,,,0,0,,0
600,2,2016,Ole Miss,SEC,FR,TE,1,0,0,,0,0,0,,0,0,0,,0
601,3,2017,Ole Miss,SEC,SO,TE,8,24,321,13.4,0,0,0,,0,24,321,13.4,0
602,4,2018,Ole Miss,SEC,JR,TE,9,15,284,18.9,0,0,0,,0,15,284,18.9,0
603,5,Career,Ole Miss,,,,,39,605,15.5,0,0,0,,0,39,605,15.5,0
604,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
605,1,2015,Missouri,SEC,FR,QB,12,0,0,,0,52,28,0.5,1,52,28,0.5,1
