,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Passing.5,Passing.6,Passing.7,Passing.8
0,Derek Carr,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2009,Fresno State,WAC,FR,QB,5,10,14,71.4,112,8.0,8.0,0,0,138.6
2,2011,Fresno State,WAC,SO,QB,13,279,446,62.6,3544,7.9,8.2,26,9,144.5
3,*2012,Fresno State,MWC,JR,QB,13,344,511,67.3,4104,8.0,8.9,37,7,155.9
4,*2013,Fresno State,MWC,SR,QB,13,454,659,68.9,5083,7.7,8.7,50,8,156.3
5,Career,Fresno State,,,,,1087,1630,66.7,12843,7.9,8.6,113,24,152.8
0,David Fales,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2012,San Jose State,WAC,JR,QB,13,327,451,72.5,4193,9.3,9.9,33,9,170.8
2,2013,San Jose State,MWC,SR,QB,12,312,487,64.1,4189,8.6,8.8,33,13,153.3
3,Career,San Jose State,,,,,639,938,68.1,8382,8.9,9.3,66,22,161.7
0,Johnny Manziel,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2012,Texas A&M,SEC,FR,QB,13,295,434,68.0,3706,8.5,8.8,26,9,155.3
2,*2013,Texas A&M,SEC,SO,QB,13,300,429,69.9,4114,9.6,10.0,37,13,172.9
3,Career,Texas A&M,,,,,595,863,68.9,7820,9.1,9.4,63,22,164.1
0,A.J. McCarron,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2010,Alabama,SEC,FR,QB,13,30,48,62.5,389,8.1,9.4,3,0,151.2
2,*2011,Alabama,SEC,SO,QB,13,219,328,66.8,2634,8.0,8.3,16,5,147.3
3,*2012,Alabama,SEC,JR,QB,14,211,314,67.2,2933,9.3,10.8,30,3,175.3
4,*2013,Alabama,SEC,SR,QB,13,226,336,67.3,3063,9.1,9.8,28,7,167.2
5,Career,Alabama,,,,,686,1026,66.9,9019,8.8,9.6,77,15,162.5
0,Zach Mettenberger,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2011,LSU,SEC,SO,QB,5,8,11,72.7,92,8.4,10.2,1,0,173.0
2,*2012,LSU,SEC,JR,QB,13,207,352,58.8,2609,7.4,7.2,12,7,128.3
3,*2013,LSU,SEC,SR,QB,12,192,296,64.9,3082,10.4,10.7,22,8,171.4
4,Career,LSU,,,,,407,659,61.8,5783,8.8,8.8,35,15,148.4
0,Aaron Murray,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2010,Georgia,SEC,FR,QB,13,209,342,61.1,3049,8.9,9.3,24,8,154.5
2,*2011,Georgia,SEC,SO,QB,14,238,403,59.1,3149,7.8,8.0,35,14,146.4
3,*2012,Georgia,SEC,JR,QB,14,249,386,64.5,3893,10.1,10.8,36,10,174.8
4,*2013,Georgia,SEC,SR,QB,11,225,347,64.8,3075,8.9,9.2,26,9,158.8
5,Career,Georgia,,,,,921,1478,62.3,13166,8.9,9.3,121,41,158.6
0,Tom Savage,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2009,Rutgers,Big East,FR,QB,12,149,285,52.3,2211,7.8,7.6,14,7,128.7
2,2010,Rutgers,Big East,SO,QB,6,43,83,51.8,521,6.3,5.1,2,3,105.3
3,*2013,Pitt,ACC,SR,QB,13,238,389,61.2,2958,7.6,7.6,21,9,138.2
4,Career,Overall,,,,,430,757,56.8,5690,7.5,7.4,37,19,131.1
5,,Rutgers,,,,,192,368,52.2,2732,7.4,7.1,16,10,123.4
6,,Pitt,,,,,238,389,61.2,2958,7.6,7.6,21,9,138.2
0,Logan Thomas,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2010,Virginia Tech,ACC,SO,QB,7,12,26,46.2,107,4.1,4.1,0,0,80.7
2,*2011,Virginia Tech,ACC,JR,QB,14,234,391,59.8,3013,7.7,7.5,19,10,135.5
3,*2012,Virginia Tech,ACC,SR,QB,13,220,429,51.3,2976,6.9,6.1,18,16,115.9
4,*2013,Virginia Tech,ACC,SR,QB,13,227,402,56.5,2907,7.2,6.5,15,13,123.1
5,Career,Virginia Tech,,,,,693,1248,55.5,9003,7.2,6.6,52,39,123.6
0,Keith Wenning,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2010,Ball State,MAC,FR,QB,12,128,235,54.5,1373,5.8,4.4,14,14,111.3
2,2011,Ball State,MAC,SO,QB,12,287,449,63.9,2786,6.2,5.9,19,11,125.1
3,*2012,Ball State,MAC,JR,QB,12,301,460,65.4,3095,6.7,6.8,24,10,134.8
4,*2013,Ball State,MAC,SR,QB,13,319,498,64.1,4148,8.3,9.1,35,7,154.4
5,Career,Ball State,,,,,1035,1642,63.0,11402,6.9,6.9,92,42,134.7
0,Matt Barkley,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2009,USC,Pac-10,FR,QB,12,211,352,59.9,2735,7.8,6.8,15,14,131.3
2,2010,USC,Pac-10,SO,QB,12,236,377,62.6,2791,7.4,7.4,26,12,141.2
3,2011,USC,Pac-12,JR,QB,12,308,446,69.1,3528,7.9,9.0,39,7,161.2
4,*2012,USC,Pac-12,SR,QB,11,246,387,63.6,3273,8.5,8.6,36,15,157.6
5,Career,USC,,,,,1001,1562,64.1,12327,7.9,8.0,116,48,148.7
0,Zac Dysert,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2009,Miami (OH),MAC,FR,QB,11,247,401,61.6,2611,6.5,5.3,12,16,118.2
2,*2010,Miami (OH),MAC,SO,QB,11,222,343,64.7,2406,7.0,6.2,13,12,129.2
3,2011,Miami (OH),MAC,JR,QB,12,295,448,65.8,3513,7.8,7.8,23,11,143.7
4,2012,Miami (OH),MAC,SR,QB,12,302,480,62.9,3483,7.3,7.2,25,12,136.1
5,Career,Miami (OH),,,,,1066,1672,63.8,12013,7.2,6.7,73,51,132.4
0,Mike Glennon,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2009,North Carolina State,ACC,FR,QB,7,24,39,61.5,248,6.4,4.6,1,2,113.2
2,*2010,North Carolina State,ACC,SO,QB,3,9,13,69.2,78,6.0,6.0,0,0,119.6
3,*2011,North Carolina State,ACC,JR,QB,13,283,453,62.5,3054,6.7,6.9,31,12,136.4
4,*2012,North Carolina State,ACC,SR,QB,13,330,564,58.5,4031,7.1,6.9,31,17,130.7
5,Career,North Carolina State,,,,,646,1069,60.4,7411,6.9,6.8,63,31,132.3
0,Landry Jones,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2009,Oklahoma,Big 12,FR,QB,13,261,449,58.1,3198,7.1,6.9,26,14,130.8
2,*2010,Oklahoma,Big 12,SO,QB,14,405,617,65.6,4718,7.6,8.0,38,12,146.3
3,*2011,Oklahoma,Big 12,JR,QB,13,355,562,63.2,4463,7.9,7.8,29,15,141.6
4,*2012,Oklahoma,Big 12,SR,QB,13,367,555,66.1,4267,7.7,7.9,30,11,144.6
5,Career,Oklahoma,,,,,1388,2183,63.6,16646,7.6,7.7,123,52,141.5
0,E.J. Manuel,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2009,Florida State,ACC,FR,QB,7,69,106,65.1,817,7.7,5.5,2,6,124.7
2,*2010,Florida State,ACC,SO,QB,10,65,93,69.9,861,9.3,8.2,4,4,153.3
3,*2011,Florida State,ACC,JR,QB,12,203,311,65.3,2666,8.6,8.6,18,8,151.2
4,*2012,Florida State,ACC,SR,QB,14,263,387,68.0,3397,8.8,8.8,23,10,156.1
5,Career,Florida State,,,,,600,897,66.9,7741,8.6,8.3,47,28,150.4
0,Ryan Nassib,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2009,Syracuse,Big East,SO,QB,9,36,68,52.9,422,6.2,6.4,3,1,116.7
2,*2010,Syracuse,Big East,JR,QB,13,202,358,56.4,2334,6.5,6.6,19,8,124.2
3,2011,Syracuse,Big East,SR,QB,12,259,415,62.4,2685,6.5,6.6,22,9,129.9
4,*2012,Syracuse,Big East,SR,QB,13,294,471,62.4,3749,8.0,8.1,26,10,143.3
5,Career,Syracuse,,,,,791,1312,60.3,9190,7.0,7.1,70,28,132.5
0,Sean Renfree,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2009,Duke,ACC,FR,QB,6,34,50,68.0,330,6.6,6.4,4,2,141.8
2,2010,Duke,ACC,SO,QB,12,285,464,61.4,3131,6.7,5.7,14,17,120.7
3,2011,Duke,ACC,JR,QB,12,282,434,65.0,2891,6.7,6.2,14,11,126.5
4,*2012,Duke,ACC,SR,QB,12,297,441,67.3,3113,7.1,6.9,19,10,136.3
5,Career,Duke,,,,,898,1389,64.7,9465,6.8,6.3,51,40,128.2
0,Geno Smith,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2009,West Virginia,Big East,FR,QB,5,32,49,65.3,309,6.3,5.8,1,1,120.9
2,*2010,West Virginia,Big East,SO,QB,13,241,372,64.8,2763,7.4,7.9,24,7,144.7
3,*2011,West Virginia,Big East,JR,QB,13,346,526,65.8,4385,8.3,8.9,31,7,152.6
4,*2012,West Virginia,Big 12,SR,QB,13,369,518,71.2,4205,8.1,9.2,42,6,163.9
5,Career,West Virginia,,,,,988,1465,67.4,11662,8.0,8.7,98,21,153.5
0,Tyler Wilson,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2008,Arkansas,SEC,FR,QB,2,11,22,50.0,69,3.1,0.0,1,2,73.2
2,*2009,Arkansas,SEC,FR,QB,5,22,36,61.1,218,6.1,4.7,2,2,119.2
3,*2010,Arkansas,SEC,SO,QB,6,34,51,66.7,453,8.9,7.8,4,3,155.4
4,*2011,Arkansas,SEC,JR,QB,13,277,438,63.2,3638,8.3,8.8,24,6,148.4
5,2012,Arkansas,SEC,SR,QB,11,249,401,62.1,3387,8.4,8.0,21,13,143.8
6,Career,Arkansas,,,,,593,948,62.6,7765,8.2,8.1,52,26,144.0
0,Kirk Cousins,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2008,Michigan State,Big Ten,FR,QB,5,32,43,74.4,310,7.2,7.1,2,1,145.7
2,*2009,Michigan State,Big Ten,SO,QB,13,198,328,60.4,2680,8.2,8.1,19,9,142.6
3,*2010,Michigan State,Big Ten,JR,QB,13,226,338,66.9,2825,8.4,8.2,20,10,150.7
4,*2011,Michigan State,Big Ten,SR,QB,14,267,419,63.7,3316,7.9,8.0,25,10,145.1
5,Career,Michigan State,,,,,723,1128,64.1,9131,8.1,8.1,66,30,146.1
0,Nick Foles,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2007,Michigan State,Big Ten,FR,QB,1,5,8,62.5,57,7.1,7.1,0,0,122.4
2,*2009,Arizona,Pac-10,SO,QB,12,260,410,63.4,2486,6.1,6.0,19,9,125.2
3,*2010,Arizona,Pac-10,JR,QB,11,286,426,67.1,3191,7.5,7.4,20,10,140.9
4,2011,Arizona,Pac-12,SR,QB,12,387,560,69.1,4334,7.7,7.6,28,14,145.6
5,Career,Overall,,,,,938,1404,66.8,10068,7.2,7.1,67,33,138.1
6,,Michigan State,,,,,5,8,62.5,57,7.1,7.1,0,0,122.4
7,,Arizona,,,,,933,1396,66.8,10011,7.2,7.1,67,33,138.2
0,Robert Griffin III,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2008,Baylor,Big 12,FR,QB,12,160,267,59.9,2091,7.8,8.4,15,3,142.0
2,2009,Baylor,Big 12,SO,QB,3,45,69,65.2,481,7.0,8.1,4,0,142.9
3,*2010,Baylor,Big 12,SO,QB,13,304,454,67.0,3501,7.7,7.9,22,8,144.2
4,*2011,Baylor,Big 12,JR,QB,13,291,402,72.4,4293,10.7,11.8,37,6,189.5
5,Career,Baylor,,,,,800,1192,67.1,10366,8.7,9.4,78,17,158.9
0,Chandler Harnish,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2008,Northern Illinois,MAC,FR,QB,10,118,211,55.9,1528,7.2,6.1,8,9,120.7
2,*2009,Northern Illinois,MAC,SO,QB,10,143,223,64.1,1670,7.5,7.3,11,6,137.9
3,*2010,Northern Illinois,MAC,JR,QB,13,189,292,64.7,2530,8.7,9.3,21,5,157.8
4,*2011,Northern Illinois,MAC,SR,QB,14,237,384,61.7,3216,8.4,9.1,28,6,153.0
5,Career,Northern Illinois,,,,,687,1110,61.9,8944,8.1,8.2,68,26,145.1
0,Ryan Lindley,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2008,San Diego State,MWC,FR,QB,11,242,427,56.7,2653,6.2,6.0,16,9,117.0
2,2009,San Diego State,MWC,SO,QB,12,239,437,54.7,3054,7.0,6.4,23,16,123.4
3,*2010,San Diego State,MWC,JR,QB,13,243,421,57.7,3830,9.1,8.9,28,14,149.4
4,*2011,San Diego State,MWC,SR,QB,13,237,447,53.0,3153,7.1,7.3,23,8,125.7
5,Career,San Diego State,,,,,961,1732,55.5,12690,7.3,7.1,90,47,128.8
0,Andrew Luck,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2009,Stanford,Pac-10,FR,QB,12,162,288,56.3,2575,8.9,9.2,13,4,143.5
2,*2010,Stanford,Pac-10,SO,QB,13,263,372,70.7,3338,9.0,9.7,32,8,170.2
3,*2011,Stanford,Pac-12,SR,QB,13,288,404,71.3,3517,8.7,9.4,37,10,169.7
4,Career,Stanford,,,,,713,1064,67.0,9430,8.9,9.5,82,22,162.8
0,Brock Osweiler,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2009,Arizona State,Pac-10,FR,QB,6,24,55,43.6,249,4.5,3.6,2,2,86.4
2,2010,Arizona State,Pac-10,SO,QB,6,62,109,56.9,797,7.3,8.2,5,0,133.4
3,*2011,Arizona State,Pac-12,JR,QB,13,326,516,63.2,4036,7.8,7.7,26,13,140.5
4,Career,Arizona State,,,,,412,680,60.6,5082,7.5,7.5,33,15,135.0
0,Ryan Tannehill,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2008,Texas A&M,Big 12,FR,WR,11,1,1,100.0,8,8.0,8.0,0,0,167.2
2,*2009,Texas A&M,Big 12,SO,QB,13,4,8,50.0,60,7.5,7.5,0,0,113.0
3,*2010,Texas A&M,Big 12,JR,WR,13,152,234,65.0,1638,7.0,7.0,13,6,137.0
4,*2011,Texas A&M,Big 12,SR,QB,13,327,531,61.6,3744,7.1,6.9,29,15,133.2
5,Career,Texas A&M,,,,,484,774,62.5,5450,7.0,6.9,42,21,134.2
0,Brandon Weeden,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2008,Oklahoma State,Big 12,FR,QB,1,1,3,33.3,8,2.7,2.7,0,0,55.7
2,*2009,Oklahoma State,Big 12,SO,QB,3,15,24,62.5,248,10.3,11.8,4,1,196.0
3,*2010,Oklahoma State,Big 12,JR,QB,13,342,511,66.9,4277,8.4,8.6,34,13,154.1
4,*2011,Oklahoma State,Big 12,SR,QB,13,409,565,72.4,4727,8.4,8.6,37,13,159.7
5,Career,Oklahoma State,,,,,767,1103,69.5,9260,8.4,8.7,75,27,157.6
0,Russell Wilson,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2008,North Carolina State,ACC,FR,QB,11,150,275,54.5,1955,7.1,8.2,17,1,133.9
2,2009,North Carolina State,ACC,SO,QB,12,224,378,59.3,3027,8.0,8.3,31,11,147.8
3,*2010,North Carolina State,ACC,JR,QB,13,308,527,58.4,3563,6.8,6.6,28,14,127.5
4,*2011,Wisconsin,Big Ten,SR,QB,14,225,309,72.8,3175,10.3,11.8,33,4,191.8
5,Career,Overall,,,,,907,1489,60.9,11720,7.9,8.4,109,30,147.2
6,,North Carolina State,,,,,682,1180,57.8,8545,7.2,7.5,76,26,135.5
7,,Wisconsin,,,,,225,309,72.8,3175,10.3,11.8,33,4,191.8
0,Andy Dalton,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2007,Texas Christian,MWC,FR,QB,13,222,371,59.8,2459,6.6,5.8,10,11,118.5
2,*2008,Texas Christian,MWC,SO,QB,11,182,307,59.3,2242,7.3,7.3,11,5,129.2
3,*2009,Texas Christian,MWC,JR,QB,13,199,323,61.6,2756,8.5,8.8,23,8,151.8
4,*2010,Texas Christian,MWC,SR,QB,13,209,316,66.1,2857,9.0,9.9,27,6,166.5
5,Career,Texas Christian,,,,,812,1317,61.7,10314,7.8,7.9,71,30,140.7
0,Nathan Enderle,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2007,Idaho,WAC,SO,QB,10,132,298,44.3,1787,6.0,3.9,10,18,93.7
2,2008,Idaho,WAC,SO,QB,12,184,339,54.3,2077,6.1,5.1,20,17,115.2
3,*2009,Idaho,WAC,JR,QB,11,192,312,61.5,2906,9.3,9.4,22,9,157.3
4,2010,Idaho,WAC,SR,QB,13,271,478,56.7,3314,6.9,6.3,22,16,123.4
5,Career,Idaho,,,,,779,1427,54.6,10084,7.1,6.2,74,60,122.7
0,Blaine Gabbert,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2008,Missouri,Big 12,FR,QB,5,5,13,38.5,43,3.3,3.3,0,0,66.2
2,*2009,Missouri,Big 12,SO,QB,13,262,445,58.9,3593,8.1,8.2,24,9,140.5
3,*2010,Missouri,Big 12,JR,QB,13,301,475,63.4,3186,6.7,6.5,16,9,127.0
4,Career,Missouri,,,,,568,933,60.9,6822,7.3,7.3,40,18,132.6
0,Colin Kaepernick,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2007,Nevada,WAC,FR,QB,11,133,247,53.8,2175,8.8,9.8,19,3,150.8
2,*2008,Nevada,WAC,SO,QB,13,208,383,54.3,2849,7.4,7.8,22,7,132.1
3,*2009,Nevada,WAC,JR,QB,13,166,282,58.9,2052,7.3,7.7,20,6,139.1
4,*2010,Nevada,WAC,SR,QB,14,233,359,64.9,3022,8.4,8.6,21,8,150.5
5,Career,Nevada,,,,,740,1271,58.2,10098,7.9,8.4,82,24,142.5
0,Jake Locker,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2007,Washington,Pac-10,FR,QB,12,155,328,47.3,2062,6.3,5.1,14,15,105.0
2,2008,Washington,Pac-10,SO,QB,4,50,93,53.8,512,5.5,5.7,1,0,103.6
3,2009,Washington,Pac-10,JR,QB,12,230,394,58.4,2800,7.1,6.9,21,11,130.1
4,*2010,Washington,Pac-10,SR,QB,12,184,332,55.4,2265,6.8,6.6,17,9,124.2
5,Career,Washington,,,,,619,1147,54.0,7639,6.7,6.2,53,35,119.1
0,Ryan Mallett,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2007,Michigan,Big Ten,FR,QB,11,61,141,43.3,892,6.3,5.7,7,5,105.7
2,*2009,Arkansas,SEC,SO,QB,13,225,403,55.8,3624,9.0,9.7,30,7,152.5
3,*2010,Arkansas,SEC,JR,QB,13,266,411,64.7,3869,9.4,9.7,32,12,163.6
4,Career,Overall,,,,,552,955,57.8,8385,8.8,9.1,69,24,150.4
5,,Michigan,,,,,61,141,43.3,892,6.3,5.7,7,5,105.7
6,,Arkansas,,,,,491,814,60.3,7493,9.2,9.7,62,19,158.1
0,Greg McElroy,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2007,Alabama,SEC,FR,QB,2,8,9,88.9,73,8.1,10.3,1,0,193.7
2,*2008,Alabama,SEC,SO,QB,6,8,11,72.7,123,11.2,8.9,1,1,178.5
3,*2009,Alabama,SEC,JR,QB,14,198,325,60.9,2508,7.7,8.2,17,4,140.5
4,*2010,Alabama,SEC,SR,QB,13,222,313,70.9,2987,9.5,10.1,20,5,169.0
5,Career,Alabama,,,,,436,658,66.3,5691,8.6,9.2,39,10,155.4
0,Cam Newton,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2007,Florida,SEC,FR,QB,5,5,10,50.0,40,4.0,4.0,0,0,83.6
2,*2008,Florida,SEC,SO,QB,1,1,2,50.0,14,7.0,7.0,0,0,108.8
3,*2010,Auburn,SEC,JR,QB,14,185,280,66.1,2854,10.2,11.2,30,7,182.0
4,Career,Overall,,,,,191,292,65.4,2908,10.0,10.9,30,7,178.2
5,,Florida,,,,,6,12,50.0,54,4.5,4.5,0,0,87.8
6,,Auburn,,,,,185,280,66.1,2854,10.2,11.2,30,7,182.0
0,Christian Ponder,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2007,Florida State,ACC,FR,QB,1,8,18,44.4,105,5.8,1.9,1,2,89.6
2,*2008,Florida State,ACC,SO,QB,13,177,318,55.7,2006,6.3,5.3,14,13,115.0
3,*2009,Florida State,ACC,JR,QB,9,227,330,68.8,2717,8.2,8.1,14,7,147.7
4,*2010,Florida State,ACC,SR,QB,12,184,299,61.5,2044,6.8,7.0,20,8,135.7
5,Career,Florida State,,,,,596,965,61.8,6872,7.1,6.7,49,30,132.1
0,Ricky Stanzi,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2007,Iowa,Big Ten,,QB,2,0,4,0.0,0,0.0,-11.3,0,1,-50.0
2,*2008,Iowa,Big Ten,,QB,13,150,254,59.1,1956,7.7,7.2,14,9,134.8
3,*2009,Iowa,Big Ten,,QB,11,171,304,56.3,2417,8.0,6.8,17,15,131.6
4,*2010,Iowa,Big Ten,,QB,13,221,345,64.1,3004,8.7,9.4,25,6,157.6
5,Career,Iowa,,,,,542,907,59.8,7377,8.1,7.8,56,31,141.6
0,Tyrod Taylor,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2007,Virginia Tech,ACC,FR,QB,11,72,134,53.7,927,6.9,6.7,5,3,119.7
2,*2008,Virginia Tech,ACC,SO,QB,12,99,173,57.2,1036,6.0,4.4,2,7,103.3
3,*2009,Virginia Tech,ACC,JR,QB,13,136,243,56.0,2311,9.5,9.7,13,5,149.4
4,*2010,Virginia Tech,ACC,SR,QB,14,188,315,59.7,2743,8.7,9.5,24,5,154.8
5,Career,Virginia Tech,,,,,495,865,57.2,7017,8.1,8.1,44,20,137.5
0,T.J. Yates,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2007,North Carolina,ACC,FR,QB,12,218,365,59.7,2655,7.3,5.8,14,18,123.6
2,*2008,North Carolina,ACC,SO,QB,7,81,135,60.0,1168,8.7,8.9,11,4,153.6
3,*2009,North Carolina,ACC,JR,QB,13,214,355,60.3,2136,6.0,4.9,14,15,115.4
4,*2010,North Carolina,ACC,SR,QB,13,282,422,66.8,3418,8.1,8.0,19,9,145.5
5,Career,North Carolina,,,,,795,1277,62.3,9377,7.3,6.6,58,46,131.7
0,Sam Bradford,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2007,Oklahoma,Big 12,FR,QB,14,237,341,69.5,3121,9.2,10.2,36,8,176.5
2,*2008,Oklahoma,Big 12,SO,QB,14,328,483,67.9,4720,9.8,11.1,50,8,180.8
3,*2009,Oklahoma,Big 12,JR,QB,3,39,69,56.5,562,8.1,8.7,2,0,134.5
4,Career,Oklahoma,,,,,604,893,67.6,8403,9.4,10.6,88,16,175.6
0,Jimmy Clausen,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2007,Notre Dame,Ind,FR,QB,10,138,245,56.3,1254,5.1,4.6,7,6,103.9
2,*2008,Notre Dame,Ind,SO,QB,13,268,440,60.9,3172,7.2,6.6,25,17,132.5
3,2009,Notre Dame,Ind,JR,QB,12,289,425,68.0,3722,8.8,9.7,28,4,161.4
4,Career,Notre Dame,,,,,695,1110,62.6,8148,7.3,7.3,60,27,137.2
0,Mike Kafka,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2006,Northwestern,Big Ten,FR,QB,5,55,96,57.3,494,5.1,3.0,1,5,93.5
2,2007,Northwestern,Big Ten,SO,QB,4,2,3,66.7,11,3.7,3.7,0,0,97.5
3,*2008,Northwestern,Big Ten,JR,QB,8,32,46,69.6,330,7.2,5.1,2,3,131.1
4,*2009,Northwestern,Big Ten,SR,QB,13,319,492,64.8,3430,7.0,6.5,16,12,129.3
5,Career,Northwestern,,,,,408,637,64.1,4265,6.7,5.9,19,20,123.9
0,Dan Lefevour,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2006,Central Michigan,MAC,FR,QB,14,247,388,63.7,3031,7.8,8.0,26,10,146.2
2,*2007,Central Michigan,MAC,SO,QB,14,355,543,65.4,3652,6.7,6.6,27,13,133.5
3,*2008,Central Michigan,MAC,JR,QB,11,251,376,66.8,2784,7.4,7.8,21,6,144.2
4,*2009,Central Michigan,MAC,SR,QB,14,318,456,69.7,3438,7.5,8.1,28,7,150.3
5,Career,Central Michigan,,,,,1171,1763,66.4,12905,7.3,7.6,102,36,142.9
0,Colt McCoy,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2006,Texas,Big 12,FR,QB,13,217,318,68.2,2570,8.1,8.9,29,7,161.8
2,*2007,Texas,Big 12,SO,QB,13,276,424,65.1,3303,7.8,6.9,22,18,139.2
3,*2008,Texas,Big 12,JR,QB,13,332,433,76.7,3859,8.9,9.7,34,8,173.8
4,*2009,Texas,Big 12,SR,QB,14,332,470,70.6,3521,7.5,7.5,27,12,147.4
5,Career,Texas,,,,,1157,1645,70.3,13253,8.1,8.2,112,45,155.0
0,Tony Pike,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2007,Cincinnati,Big East,SO,QB,5,11,20,55.0,91,4.6,-1.2,1,3,79.7
2,*2008,Cincinnati,Big East,JR,QB,12,199,324,61.4,2407,7.4,7.1,19,11,136.4
3,*2009,Cincinnati,Big East,SR,QB,10,211,338,62.4,2520,7.5,8.4,29,6,149.8
4,Career,Cincinnati,,,,,421,682,61.7,5018,7.4,7.5,49,20,141.4
