,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Passing.5,Passing.6,Passing.7,Passing.8
4,Career,USC,,,,,549,846,64.9,7229,8.5,8.7,57,22,153.7
0,Danny Etling,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2013,Purdue,Big Ten,FR,QB,8,149,267,55.8,1690,6.3,5.9,10,7,116.1
2,2014,Purdue,Big Ten,SO,QB,5,89,162,54.9,800,4.9,4.3,6,5,102.5
3,*2015,LSU,SEC,JR,QB,,,,,,,,,,
4,*2016,LSU,SEC,JR,QB,11,160,269,59.5,2123,7.9,7.9,11,5,135.6
5,*2017,LSU,SEC,SR,QB,13,165,275,60.0,2463,9.0,9.8,16,2,153.0
6,Career,Overall,,,,,563,973,57.9,7076,7.3,7.3,43,19,129.6
7,,Purdue,,,,,238,429,55.5,2490,5.8,5.3,16,12,110.9
8,,LSU,,,,,325,544,59.7,4586,8.4,8.8,27,7,144.4
0,Luke Falk,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2014,Washington State,Pac-12,FR,QB,5,156,243,64.2,1859,7.7,7.4,13,7,140.4
2,*2015,Washington State,Pac-12,SO,QB,12,447,644,69.4,4561,7.1,7.7,38,8,145.9
3,*2016,Washington State,Pac-12,JR,QB,13,443,633,70.0,4468,7.1,7.5,38,11,145.6
4,*2017,Washington State,Pac-12,SR,QB,12,357,534,66.9,3593,6.7,6.8,30,13,137.0
5,Career,Washington State,,,,,1403,2054,68.3,14481,7.1,7.4,119,39,142.8
0,Tanner Lee,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2014,Tulane,American,FR,QB,10,185,336,55.1,1962,5.8,4.7,12,14,107.6
2,2015,Tulane,American,SO,QB,9,143,276,51.8,1639,5.9,5.6,11,7,109.8
3,2017,Nebraska,Big Ten,JR,QB,12,246,428,57.5,3143,7.3,6.7,23,16,129.4
4,Career,Overall,,,,,574,1040,55.2,6744,6.5,5.8,46,37,117.1
5,,Tulane,,,,,328,612,53.6,3601,5.9,5.1,23,21,108.6
6,,Nebraska,,,,,246,428,57.5,3143,7.3,6.7,23,16,129.4
0,Baker Mayfield,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2013,Texas Tech,Big 12,FR,QB,8,218,340,64.1,2315,6.8,6.3,12,9,127.7
2,*2015,Oklahoma,Big 12,SO,QB,13,269,395,68.1,3700,9.4,10.4,36,7,173.3
3,*2016,Oklahoma,Big 12,JR,QB,13,254,358,70.9,3965,11.1,12.3,40,8,196.4
4,*2017,Oklahoma,Big 12,SR,QB,14,285,404,70.5,4627,11.5,12.9,43,6,198.9
5,Career,Overall,,,,,1026,1497,68.5,14607,9.8,10.6,131,30,175.4
6,,Texas Tech,,,,,218,340,64.1,2315,6.8,6.3,12,9,127.7
7,,Oklahoma,,,,,808,1157,69.8,12292,10.6,11.9,119,21,189.4
0,Josh Rosen,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2015,UCLA,Pac-12,FR,QB,13,292,487,60.0,3669,7.5,7.5,23,11,134.3
2,2016,UCLA,Pac-12,SO,QB,6,137,231,59.3,1915,8.3,8.2,10,5,138.9
3,*2017,UCLA,Pac-12,JR,QB,11,283,452,62.6,3756,8.3,8.5,26,10,147.0
4,Career,UCLA,,,,,712,1170,60.9,9340,8.0,8.0,59,26,140.1
0,Mason Rudolph,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2014,Oklahoma State,Big 12,FR,QB,3,49,86,57.0,853,9.9,9.2,6,4,154.0
2,*2015,Oklahoma State,Big 12,SO,QB,13,264,424,62.3,3770,8.9,8.9,21,9,149.1
3,*2016,Oklahoma State,Big 12,JR,QB,13,284,448,63.4,4091,9.1,10.0,28,4,158.9
4,*2017,Oklahoma State,Big 12,SR,QB,13,318,489,65.0,4904,10.0,10.7,37,9,170.6
5,Career,Oklahoma State,,,,,915,1447,63.2,13618,9.4,9.9,92,26,159.7
0,Logan Woodside,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2013,Toledo,MAC,FR,QB,4,21,41,51.2,240,5.9,6.3,1,0,108.4
2,*2014,Toledo,MAC,SO,QB,12,185,296,62.5,2263,7.6,7.7,19,8,142.5
3,*2015,Toledo,MAC,JR,QB,,,,,,,,,,
4,*2016,Toledo,MAC,JR,QB,13,289,418,69.1,4129,9.9,11.1,45,9,183.3
5,*2017,Toledo,MAC,SR,QB,14,264,411,64.2,3882,9.4,9.9,28,8,162.2
6,Career,Toledo,,,,,759,1166,65.1,10514,9.0,9.6,93,25,162.9
0,C.J. Beathard,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2013,Iowa,Big Ten,FR,QB,5,9,27,33.3,179,6.6,4.0,1,2,86.4
2,*2014,Iowa,Big Ten,SO,QB,8,52,92,56.5,645,7.0,7.1,5,2,129.0
3,*2015,Iowa,Big Ten,JR,QB,14,223,362,61.6,2809,7.8,8.1,17,5,139.5
4,*2016,Iowa,Big Ten,SR,QB,13,170,301,56.5,1929,6.4,6.0,17,10,122.3
5,Career,Iowa,,,,,454,782,58.1,5562,7.1,7.0,40,19,129.8
0,Joshua Dobbs,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2013,Tennessee,SEC,FR,QB,5,72,121,59.5,695,5.7,3.8,2,6,103.3
2,*2014,Tennessee,SEC,SO,QB,6,112,177,63.3,1206,6.8,6.3,9,6,130.5
3,*2015,Tennessee,SEC,JR,QB,13,205,344,59.6,2291,6.7,6.9,15,5,127.0
4,*2016,Tennessee,SEC,SR,QB,13,225,357,63.0,2946,8.3,8.3,27,12,150.6
5,Career,Tennessee,,,,,614,999,61.5,7138,7.1,6.9,53,29,133.2
0,Brad Kaaya,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2014,Miami (FL),ACC,FR,QB,13,221,378,58.5,3198,8.5,8.4,26,12,145.9
2,*2015,Miami (FL),ACC,SO,QB,12,238,389,61.2,3238,8.3,8.6,16,5,142.1
3,*2016,Miami (FL),ACC,JR,QB,13,261,421,62.0,3532,8.4,8.9,27,7,150.3
4,Career,Miami (FL),,,,,720,1188,60.6,9968,8.4,8.6,69,24,146.2
0,DeShone Kizer,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2015,Notre Dame,Ind,SO,QB,13,210,334,62.9,2880,8.6,8.5,21,10,150.1
2,2016,Notre Dame,Ind,JR,QB,12,212,361,58.7,2925,8.1,8.4,26,9,145.6
3,Career,Notre Dame,,,,,422,695,60.7,5805,8.4,8.5,47,19,147.7
0,Patrick Mahomes,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2014,Texas Tech,Big 12,FR,QB,7,105,185,56.8,1547,8.4,9.1,16,4,151.2
2,*2015,Texas Tech,Big 12,SO,QB,13,364,573,63.5,4653,8.1,8.2,36,15,147.2
3,2016,Texas Tech,Big 12,JR,QB,12,388,591,65.7,5052,8.5,9.2,41,10,157.0
4,Career,Texas Tech,,,,,857,1349,63.5,11252,8.3,8.8,93,29,152.0
0,Nathan Peterman,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2013,Tennessee,SEC,FR,QB,3,10,23,43.5,45,2.0,-2.0,0,2,42.5
2,*2014,Tennessee,SEC,SO,QB,6,10,20,50.0,49,2.5,2.5,0,0,70.6
3,*2015,Pitt,ACC,JR,QB,13,193,313,61.7,2287,7.3,7.4,20,8,139.0
4,*2016,Pitt,ACC,SR,QB,13,185,306,60.5,2855,9.3,10.1,27,7,163.4
5,Career,Overall,,,,,398,662,60.1,5236,7.9,8.2,47,17,144.9
6,,Tennessee,,,,,20,43,46.5,94,2.2,0.1,0,2,55.6
7,,Pitt,,,,,378,619,61.1,5142,8.3,8.7,47,15,151.1
0,Mitch Trubisky,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2014,North Carolina,ACC,SO,QB,9,42,78,53.8,459,5.9,4.9,5,4,114.2
2,*2015,North Carolina,ACC,SO,QB,9,40,47,85.1,555,11.8,14.4,6,0,226.4
3,*2016,North Carolina,ACC,JR,QB,13,304,447,68.0,3748,8.4,9.1,30,6,157.9
4,Career,North Carolina,,,,,386,572,67.5,4762,8.3,9.0,41,10,157.6
0,Deshaun Watson,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2014,Clemson,ACC,FR,QB,8,93,137,67.9,1466,10.7,12.1,14,2,188.6
2,*2015,Clemson,ACC,SO,QB,15,333,491,67.8,4109,8.4,8.6,35,13,156.3
3,*2016,Clemson,ACC,JR,QB,15,388,579,67.0,4593,7.9,8.0,41,17,151.1
4,Career,Clemson,,,,,814,1207,67.4,10168,8.4,8.7,90,32,157.5
0,Davis Webb,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2013,Texas Tech,Big 12,FR,QB,10,226,361,62.6,2718,7.5,7.5,20,9,139.1
2,2014,Texas Tech,Big 12,SO,QB,8,211,345,61.2,2539,7.4,7.1,24,13,138.4
3,*2015,Texas Tech,Big 12,JR,QB,5,22,41,53.7,300,7.3,8.3,2,0,131.2
4,2016,California,Pac-12,SR,QB,12,382,620,61.6,4295,6.9,7.3,37,12,135.6
5,Career,Overall,,,,,841,1367,61.5,9852,7.2,7.3,83,34,137.1
6,,Texas Tech,,,,,459,747,61.4,5557,7.4,7.3,46,22,138.4
7,,California,,,,,382,620,61.6,4295,6.9,7.3,37,12,135.6
0,Brandon Allen,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2012,Arkansas,SEC,FR,QB,5,21,49,42.9,186,3.8,1.4,1,3,69.2
2,2013,Arkansas,SEC,SO,QB,11,128,258,49.6,1552,6.0,5.3,13,10,109.0
3,*2014,Arkansas,SEC,JR,QB,13,190,339,56.0,2285,6.7,7.3,20,5,129.2
4,*2015,Arkansas,SEC,SR,QB,13,244,370,65.9,3440,9.3,9.9,30,8,166.5
5,Career,Arkansas,,,,,583,1016,57.4,7463,7.3,7.5,64,26,134.8
0,Jacoby Brissett,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2011,Florida,SEC,FR,QB,8,18,39,46.2,206,5.3,1.7,2,4,86.9
2,*2012,Florida,SEC,SO,QB,5,23,35,65.7,249,7.1,7.7,1,0,134.9
3,*2014,North Carolina State,ACC,JR,QB,13,221,370,59.7,2606,7.0,7.7,23,5,136.7
4,*2015,North Carolina State,ACC,SR,QB,13,237,395,60.0,2662,6.7,7.1,20,6,130.3
5,Career,Overall,,,,,499,839,59.5,5723,6.8,7.1,46,15,131.3
6,,Florida,,,,,41,74,55.4,455,6.1,4.5,3,4,109.6
7,,North Carolina State,,,,,458,765,59.9,5268,6.9,7.4,43,11,133.4
0,Connor Cook,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2012,Michigan State,Big Ten,SO,QB,3,9,17,52.9,94,5.5,4.1,1,1,107.0
2,*2013,Michigan State,Big Ten,SO,QB,14,223,380,58.7,2755,7.3,7.7,22,6,135.5
3,*2014,Michigan State,Big Ten,JR,QB,13,212,365,58.1,3214,8.8,9.1,24,8,149.4
4,*2015,Michigan State,Big Ten,SR,QB,13,229,408,56.1,3131,7.7,8.1,24,7,136.6
5,Career,Michigan State,,,,,673,1170,57.5,9194,7.9,8.2,71,22,139.8
0,Jeff Driskel,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2011,Florida,SEC,FR,QB,5,16,34,47.1,148,4.4,1.7,0,2,71.9
2,*2012,Florida,SEC,SO,QB,12,156,245,63.7,1646,6.7,6.8,12,5,132.2
3,2013,Florida,SEC,JR,QB,3,42,61,68.9,477,7.8,6.3,2,3,135.5
4,*2014,Florida,SEC,JR,QB,9,114,212,53.8,1140,5.4,4.1,9,10,103.5
5,*2015,Louisiana Tech,CUSA,SR,QB,13,279,448,62.3,4026,9.0,9.4,27,8,154.1
6,Career,Overall,,,,,607,1000,60.7,7437,7.4,7.2,50,28,134.1
7,,Florida,,,,,328,552,59.4,3411,6.2,5.4,23,20,117.8
8,,Louisiana Tech,,,,,279,448,62.3,4026,9.0,9.4,27,8,154.1
0,Jared Goff,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
